Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
F5690040-7283-4FCE-99A2-97263107656D;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;14,8000;0,0000;0,3500;14,4500;;;31/10/2018 11:13:05;01/11/2018 00:00:00;;1;236115;925629;68918288;1;1;14,4500;0,0000;0,3500;0,0000;0,0000;;
C4FFB348-03AF-4EAD-AFD1-45089D1E53BD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;2,2500;0,0000;0,0500;2,2000;;;31/10/2018 10:04:05;01/11/2018 00:00:00;;1;236115;227346;68918288;1;1;2,2000;0,0000;0,0500;0,0000;0,0000;;
06F46CA0-A7C3-4B39-8BC1-3206C444081A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;12,6700;0,0000;0,3000;12,3700;;;30/10/2018 19:15:19;31/10/2018 00:00:00;;1;236115;198750;68918288;1;1;12,3700;0,0000;0,3000;0,0000;0,0000;;
9C40C5AF-6457-4A12-B51C-594ECBC1A2AB;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;98,2800;0,0000;2,3500;95,9300;;;30/10/2018 19:07:02;31/10/2018 00:00:00;;1;236115;170120;68918288;1;1;95,9300;0,0000;2,3500;0,0000;0,0000;;
AD5796C3-E3B3-4026-88E6-F115347FF372;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;26,7000;0,0000;0,8500;25,8500;;;30/10/2018 18:59:23;29/11/2018 00:00:00;;1;236115;986760;68918288;1;0;0,0000;0,0000;0,8500;0,0000;0,0000;MasterCard;
99745577-EFE5-455E-BA00-888376CC373B;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;27,0000;0,0000;0,6500;26,3500;;;30/10/2018 18:46:11;31/10/2018 00:00:00;;1;236115;978701;68918288;1;1;26,3500;0,0000;0,6500;0,0000;0,0000;;
ADA99C11-E9A3-4866-83B4-CF4CE58F203A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;13,9700;0,0000;0,3300;13,6400;;;30/10/2018 18:28:19;31/10/2018 00:00:00;;1;236115;420674;68918288;1;1;13,6400;0,0000;0,3300;0,0000;0,0000;;
F0FB679D-5F60-4681-9E5C-05A80D3468A1;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;18,0000;0,0000;0,4300;17,5700;;;30/10/2018 18:26:42;31/10/2018 00:00:00;;1;236115;505837;68918288;1;1;17,5700;0,0000;0,4300;0,0000;0,0000;;
7518CD5D-12D2-4E5A-96DA-31BBC06F05A8;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;13,9800;0,0000;0,3300;13,6500;;;30/10/2018 18:24:27;31/10/2018 00:00:00;;1;236115;964459;68918288;1;1;13,6500;0,0000;0,3300;0,0000;0,0000;;
6166CD22-122B-4540-837E-07E771A3C270;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;15,7500;0,0000;0,3800;15,3700;;;30/10/2018 18:18:26;31/10/2018 00:00:00;;1;236115;337451;68918288;1;1;15,3700;0,0000;0,3800;0,0000;0,0000;;
